ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20060044895,627,5482
T20060044938,59561,3219
T20060044939,40093,9663
T20060044965,56283,8544
T20060044974,49903,101884
T20060044978,57354,8707
T20060044979,29435,8839
T20060044991,37019,6704
T20060045053,29755,8696
T20060045059,70548,6491
T20060045145,55700,5441
T20060045191,55701,101796
T20060045208,72236,1170
T20060045214,10893,7605
T20060045329,47812,5965
T20060045336,46379,6667
T20060045354,35861,5634
T20060045355,43634,6614
T20060045360,59756,4176
T20060045389,57305,4161
T20060045483,45118,9256
T20060045547,56094,6093
T20060045550,47518,100452
T20060045551,43643,6693
T20060045590,35407,9645
T20060045733,14250,5555
T20060045797,43220,6701
T20060045812,42815,6544
T20060045843,45825,100421
T20060045999,52871,2378
T20060046017,44912,9254
T20060046019,40905,5459
T20060046027,41812,5764
T20060046075,29746,6662
T20060046183,55876,5952
T20060046184,42197,6313
T20060046247,36079,100402
T20060046283,29836,9447
T20060046412,260,102903
T20060046420,211064,6063
T20060046425,46126,5603
T20060046454,43152,6443
T20060046461,44912,9254
T20060046548,45825,100421
T20060046566,60860,2384
T20060046574,39558,5337
T20060046605,36221,9332
T20060046626,45344,9144
T20060046691,54191,9538
T20060046698,35642,7050
T20060046739,35785,7797
T20060046771,29396,9434
T20060046866,208158,5868
T20060047097,45002,9241
T20060047112,36212,6564
T20060047119,45344,9144
T20060047135,39742,5401
T20060047237,42197,6313
T20060047320,534,5290
T20060047467,29836,9447
T20060047478,22,9361
T20060047485,29416,9498
T20060047496,46195,6020
T20060047505,38578,9566
T20060047573,35620,6513
T20060047718,35936,9149
T20060047771,42460,6354
T20060047804,29746,6662
T20060047849,46208,9163
T20060047899,52871,2378
T20060047944,37911,9259
T20060047961,46460,101070
T20060048037,43107,6576
T20060048097,16803,7998
T20060048138,29387,9521
T20060048155,38313,5120
T20060048216,795,6148
T20060048274,39504,5364
T20060048376,29559,5327
T20060048429,35620,6513
T20060048465,343,5292
T20060048468,57654,6972
T20060048523,37496,5148
T20060048532,890,6631
T20060048546,36221,9332
T20060048552,210093,6764
T20070000052,552,102905
T20070000089,39679,5443
T20070000188,795,6148
T20070000364,50852,3024
T20070000414,56288,7791
T20070000437,37788,5524
T20070000449,57539,5865
T20070000509,44601,8854
T20070000529,39455,5361
T20070000539,50166,7809
T20070000553,39557,5332
T20070000636,29386,9310
T20070000669,37592,9633
T20070000719,35634,6764
T20070000783,35408,9657
T20070000838,56000,9460
T20070000851,49134,5170
T20070000868,43628,6664
T20070000910,49982,101597
T20070000941,19446,4197
T20070000971,38572,8841
T20070000973,50760,102779
T20070001043,56387,7934
T20070001149,55791,6354
T20070001181,56097,7113
T20070001251,42750,6395
T20070001284,35308,9387
T20070001412,46543,1004
T20070001488,934,6938
T20070001509,39553,5310
T20070001569,45461,9237
T20070001616,207302,2035
T20070001639,29836,9447
T20070001675,47157,100030
T20070001687,35824,102907
