ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20120001497,1,Dry,1
T20120001500,1,Dry,1
T20120001501,1,Dry,1
T20120001502,1,Dry,1
T20120001503,1,Dry,1
T20120001504,1,Dry,1
T20120001509,1,Dry,1
T20120001512,1,Dry,1
T20120001514,1,Dry,1
T20120001515,1,Dry,1
T20120001516,1,Dry,1
T20120001518,9,Unknown,1
T20120001519,1,Dry,1
T20120001520,1,Dry,1
T20120001523,1,Dry,1
T20120001527,1,Dry,1
T20120001529,1,Dry,1
T20120001531,1,Dry,1
T20120001532,1,Dry,1
T20120001533,1,Dry,1
T20120001534,1,Dry,1
T20120001535,1,Dry,1
T20120001536,1,Dry,1
T20120001538,1,Dry,1
T20120001539,1,Dry,1
T20120001540,1,Dry,1
T20120001541,1,Dry,1
T20120001542,1,Dry,1
T20120001543,1,Dry,1
T20120001547,1,Dry,1
T20120001549,1,Dry,1
T20120001550,1,Dry,1
T20120001551,1,Dry,1
T20120001553,1,Dry,1
T20120001555,1,Dry,1
T20120001557,1,Dry,0
T20120001558,1,Dry,1
T20120001559,1,Dry,1
T20120001561,1,Dry,1
T20120001562,1,Dry,1
T20120001566,1,Dry,1
T20120001567,1,Dry,1
T20120001568,1,Dry,1
T20120001569,1,Dry,1
T20120001571,1,Dry,1
T20120001576,1,Dry,1
T20120001578,1,Dry,1
T20120001584,1,Dry,1
T20120001586,1,Dry,1
T20120001587,1,Dry,1
T20120001588,9,Unknown,1
T20120001591,1,Dry,1
T20120001592,1,Dry,1
T20120001597,1,Dry,1
T20120001602,1,Dry,1
T20120001603,1,Dry,1
T20120001607,9,Unknown,1
T20120001608,1,Dry,1
T20120001611,1,Dry,1
T20120001614,1,Dry,1
T20120001615,1,Dry,0
T20120001617,1,Dry,1
T20120001618,1,Dry,1
T20120001619,1,Dry,1
T20120001620,1,Dry,1
T20120001621,1,Dry,1
T20120001630,1,Dry,1
T20120001632,1,Dry,1
T20120001637,1,Dry,0
T20120001641,1,Dry,1
T20120001642,1,Dry,1
T20120001643,1,Dry,1
T20120001644,1,Dry,1
T20120001645,1,Dry,1
T20120001647,1,Dry,1
T20120001654,1,Dry,1
T20120001656,1,Dry,1
T20120001657,1,Dry,1
T20120001661,1,Dry,1
T20120001663,1,Dry,1
T20120001665,1,Dry,1
T20120001666,1,Dry,1
T20120001667,1,Dry,1
T20120001668,1,Dry,1
T20120001669,1,Dry,1
T20120001670,1,Dry,1
T20120001671,1,Dry,1
T20120001673,1,Dry,1
T20120001677,1,Dry,1
T20120001679,1,Dry,1
T20120001686,1,Dry,1
T20120001687,2,Wet,1
T20120001689,1,Dry,1
T20120001693,1,Dry,1
T20120001696,1,Dry,1
T20120001700,1,Dry,1
T20120001702,1,Dry,1
T20120001707,1,Dry,1
T20120001708,1,Dry,1
T20120001709,1,Dry,1
T20120001710,1,Dry,1
T20120001712,1,Dry,1
T20120001713,1,Dry,1
T20120001715,1,Dry,1
T20120001716,1,Dry,1
T20120001718,1,Dry,1
T20120001719,1,Dry,1
T20120001724,1,Dry,1
T20120001725,1,Dry,1
T20120001727,1,Dry,1
T20120001731,1,Dry,1
T20120001732,1,Dry,1
T20120001733,1,Dry,1
T20120001734,1,Dry,1
T20120001735,1,Dry,0
T20120001736,9,Unknown,1
T20120001740,1,Dry,1
T20120001742,1,Dry,1
T20120001744,1,Dry,1
T20120001745,1,Dry,1
T20120001746,1,Dry,1
T20120001747,1,Dry,1
T20120001748,1,Dry,1
T20120001750,1,Dry,1
T20120001751,1,Dry,1
T20120001756,9,Unknown,1
T20120001759,1,Dry,1
T20120001760,1,Dry,1
T20120001763,1,Dry,1
T20120001765,1,Dry,1
T20120001770,1,Dry,1
T20120001771,1,Dry,1
T20120001772,1,Dry,1
T20120001773,1,Dry,1
T20120001777,1,Dry,1
T20120001778,1,Dry,1
T20120001779,2,Wet,1
T20120001780,1,Dry,1
T20120001782,1,Dry,1
T20120001783,1,Dry,1
T20120001784,1,Dry,1
T20120001786,1,Dry,1
T20120001787,1,Dry,1
T20120001791,1,Dry,1
T20120001793,1,Dry,1
T20120001794,1,Dry,1
T20120001795,1,Dry,1
T20120001796,2,Wet,1
T20120001797,1,Dry,0
T20120001802,1,Dry,1
T20120001804,1,Dry,1
T20120001806,9,Unknown,0
T20120001808,1,Dry,1
T20120001809,1,Dry,1
T20120001813,1,Dry,1
T20120001814,1,Dry,1
T20120001818,1,Dry,0
T20120001819,9,Unknown,1
T20120001820,1,Dry,1
T20120001821,1,Dry,1
T20120001822,1,Dry,1
T20120001824,1,Dry,1
T20120001825,1,Dry,1
T20120001826,1,Dry,1
T20120001827,1,Dry,1
T20120001830,1,Dry,1
T20120001833,1,Dry,1
T20120001837,1,Dry,1
T20120001839,1,Dry,1
T20120001840,1,Dry,1
T20120001842,1,Dry,1
T20120001843,1,Dry,1
T20120001845,9,Unknown,1
T20120001847,1,Dry,1
T20120001849,1,Dry,0
T20120001851,1,Dry,1
T20120001852,1,Dry,1
T20120001853,1,Dry,1
T20120001855,1,Dry,1
T20120001857,9,Unknown,1
T20120001859,1,Dry,1
T20120001860,1,Dry,1
T20120001864,1,Dry,1
T20120001865,1,Dry,1
T20120001867,1,Dry,1
T20120001870,1,Dry,1
T20120001871,1,Dry,1
T20120001873,1,Dry,0
T20120001874,1,Dry,1
T20120001876,1,Dry,1
T20120001879,1,Dry,1
T20120001883,1,Dry,1
T20120001884,1,Dry,1
T20120001888,1,Dry,1
T20120001891,1,Dry,1
T20120001894,1,Dry,1
T20120001898,1,Dry,1
T20120001900,1,Dry,1
T20120001906,1,Dry,1
T20120001910,1,Dry,1
T20120001916,1,Dry,1
T20120001919,9,Unknown,1
T20120001921,1,Dry,1
T20120001923,1,Dry,1
T20120001925,1,Dry,1
T20120001930,1,Dry,1
T20120001932,1,Dry,1
T20120001933,1,Dry,1
T20120001934,1,Dry,1
T20120001935,1,Dry,1
T20120001942,1,Dry,1
T20120001944,1,Dry,1
T20120001948,1,Dry,0
T20120001951,1,Dry,1
T20120001952,1,Dry,1
T20120001954,1,Dry,1
T20120001955,1,Dry,1
T20120001956,1,Dry,1
T20120001960,1,Dry,1
T20120001962,1,Dry,1
T20120001963,1,Dry,1
T20120001965,1,Dry,1
T20120001967,1,Dry,1
T20120001969,1,Dry,1
T20120001975,1,Dry,1
T20120001978,1,Dry,1
T20120001980,1,Dry,1
T20120001981,1,Dry,1
T20120001982,1,Dry,1
T20120001984,1,Dry,1
T20120001985,1,Dry,1
T20120001989,1,Dry,1
T20120001990,1,Dry,1
T20120001991,1,Dry,1
T20120001994,1,Dry,1
T20120001995,1,Dry,1
T20120001996,1,Dry,1
T20120001998,1,Dry,1
T20120001999,1,Dry,1
T20120002002,1,Dry,1
T20120002003,1,Dry,1
T20120002008,1,Dry,0
T20120002011,1,Dry,1
T20120002012,1,Dry,1
T20120002013,1,Dry,1
T20120002015,1,Dry,1
T20120002018,1,Dry,1
T20120002022,1,Dry,1
T20120002023,1,Dry,1
T20120002025,1,Dry,1
T20120002027,1,Dry,1
T20120002028,1,Dry,0
T20120002032,1,Dry,1
T20120002034,1,Dry,1
T20120002037,1,Dry,1
T20120002038,1,Dry,1
T20120002040,1,Dry,1
T20120002042,1,Dry,1
T20120002043,1,Dry,1
T20120002044,9,Unknown,1
T20120002046,1,Dry,1
T20120002048,1,Dry,1
T20120002050,1,Dry,1
T20120002051,1,Dry,1
T20120002052,1,Dry,1
T20120002056,1,Dry,1
T20120002059,1,Dry,1
T20120002060,1,Dry,1
T20120002061,1,Dry,1
T20120002064,1,Dry,1
T20120002066,1,Dry,1
T20120002067,1,Dry,1
T20120002068,1,Dry,1
T20120002073,1,Dry,1
T20120002074,1,Dry,1
T20120002076,1,Dry,0
T20120002079,1,Dry,1
T20120002082,1,Dry,1
T20120002083,1,Dry,1
T20120002084,1,Dry,0
T20120002090,1,Dry,1
T20120002094,1,Dry,1
T20120002095,1,Dry,1
T20120002096,1,Dry,1
T20120002097,1,Dry,1
T20120002102,1,Dry,1
T20120002105,1,Dry,1
T20120002106,1,Dry,1
T20120002108,1,Dry,1
T20120002109,1,Dry,1
T20120002110,1,Dry,1
T20120002114,1,Dry,1
T20120002115,1,Dry,1
T20120002116,1,Dry,1
T20120002117,1,Dry,1
T20120002118,9,Unknown,1
T20120002119,1,Dry,1
T20120002120,1,Dry,1
T20120002121,1,Dry,1
T20120002122,1,Dry,1
T20120002123,1,Dry,1
T20120002124,1,Dry,1
T20120002125,1,Dry,1
T20120002126,1,Dry,1
T20120002127,1,Dry,1
T20120002129,1,Dry,1
T20120002130,1,Dry,1
T20120002132,1,Dry,1
T20120002134,1,Dry,1
T20120002138,1,Dry,1
T20120002139,1,Dry,1
T20120002141,1,Dry,1
T20120002142,1,Dry,1
T20120002145,1,Dry,1
T20120002146,1,Dry,1
T20120002149,1,Dry,1
T20120002156,1,Dry,1
T20120002161,1,Dry,1
T20120002163,1,Dry,1
T20120002170,1,Dry,1
T20120002176,1,Dry,0
T20120002177,1,Dry,1
